lost,cell, sfn,sf, bbUeRef, rnti, mode,modul,mcs1,mcs2, prb,ndf1,ndf2,   tbs1,   tbs2, assBits,harq,cqi,ri,pucchPwr,puschPwr, sinr,dtx,modulation,mcs,prb,bler,    tbs,sr,    bsr,harq, 
    ,  3 , 841, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,17968832,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -115.1 ,        ,   7 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 0, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -115.1 ,        ,   7 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 3, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 3, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 1, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,17983944,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 1, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 1, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.3 ,        ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 1, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 1, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.3 ,        ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 2, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,17988000,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,        ,     ,   ,    16QAM ,   , 2 ,    ,  1000 ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,        ,     ,   ,    16QAM ,   , 2 ,    ,  1000 ,  ,       ,    ,
    ,  3 , 841, 2, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 2, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -115.1 ,        ,   7 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 2, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 2, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -115.1 ,        ,   7 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 3, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,18003104,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,        ,     ,   ,    16QAM ,   , 2 ,    ,   776 ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,        ,     ,   ,    16QAM ,   , 2 ,    ,   776 ,  ,       ,    ,
    ,  3 , 841, 3, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 3, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.1 ,        ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 3, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 3, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  , -114.1 ,        ,   8 ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 2, 3000860,13487,     ,64QAM, 28 , 28 ,    ,  Y ,  Y , 36696 , 36696 ,17887376,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 3, 3000860,13487,     ,64QAM, 28 , 28 ,    ,  Y ,  Y , 36696 , 36696 ,17891432,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,64QAM, 28 , 28 ,    ,  Y ,  Y , 36696 , 36696 ,17895488,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,64QAM, 28 , 28 ,    ,  Y ,  Y , 36696 , 36696 ,17910600,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 6, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,      0 ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 6, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 6, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,17996112,    ,   ,  ,     .  ,        ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,  -96.6 ,  25 , N ,          ,   , 2 ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,  -96.6 ,  25 , N ,          ,   , 2 ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 4, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,     0 , ACK,
    ,  3 , 841, 4, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 7, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 7, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,18011224,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,  -96.7 ,  25 , N ,          ,   , 2 ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,  -96.7 ,  25 , N ,          ,   , 2 ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    , 15, 2,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,     0 , ACK,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        , A A,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 5, 3000860,13487,     ,     ,    ,    ,    ,    ,    ,       ,       ,        ,    , 15, 2,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 8, 3000860,13487, Mimo,64QAM,    ,    , 50 ,  Y ,  Y , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
    ,  3 , 841, 8, 3000860,13487,     ,64QAM, 28 , 28 , 50 ,    ,    , 36696 , 36696 ,        ,    ,   ,  ,     .  ,     .  ,     ,   ,          ,   ,   ,    ,       ,  ,       ,    ,
