lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 840| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17934552| A A|    6 |     |   |  |
    |  3 | 840| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17960720| A A|    5 |     |   |  |
  2 |  * | 840| 9|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 840| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17964776| A A|    4 |     |   |  |
    |  3 | 841| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |17968832| A A|    3 |     |   |  |
    |  3 | 841| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17983944| A A|    2 |     |   |  |
  2 |  * | 841| 2|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 841| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17988000| A A|    1 |     |   |  |
    |  3 | 841| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18003104| A A|    0 |     |   |  |
    |  3 | 841| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17996112| A A|   63 |  15 |   |  |
lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 841| 5| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    84672 |   0.87 |18011224| A A|   63 |  15 | 15| 2|
  2 |  * | 841| 6|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 841| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18026336| A A|    5 |     |   |  |
    |  3 | 841| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18030392| A A|    4 |     |   |  |
    |  3 | 841| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18045496| A A|    3 |     |   |  |
    |  3 | 841| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18049560| A A|    2 |     |   |  |
  2 |  * | 842| 0|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 842| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18064664| A A|    1 |     |   |  |
    |  3 | 842| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18068720| A A|    0 |     |   |  |
