lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 874| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18080904| A A|    1 |     |   |  |
    |  3 | 874| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18084960| A A|    0 |     |   |  |
    |  3 | 875| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18089016| A A|    7 |     |   |  |
  2 |  * | 875| 1|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 875| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18093080| A A|    6 |     |   |  |
    |  3 | 875| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18108184| A A|    5 |     |   |  |
    |  3 | 875| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18011616|    |    0 |     |   |  |
  2 |  * | 875| 4|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 875| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18015672|    |    7 |     |   |  |
3131|  * | 905| 5|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 905| 5| 3000860|13487|     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     | 15| 2|
 608|  * | 905| 6|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 905| 6| 3000860|13487|     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        | A A|    5 |     |   |  |
    |  3 | 905| 7| 3000860|13487|     |64QAM| 28 | 28 |    |       |  Y |     |  Y |     | 36696 | 36696 | 73392 | 73392.0 | 0 | 0 |    86400 |   0.85 |18134136| A A|    4 |     |   |  |
 734|  * | 905| 8|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 905| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18149248| A A|    3 |     |   |  |
  2 |  * | 905| 9|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 905| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18153304| A A|    2 |     |   |  |
    |  3 | 906| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18168416| A A|    1 |     |   |  |
  2 |  * | 906| 1|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 906| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18172472| A A|    0 |     |   |  |
    |  3 | 906| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18176528| A A|    7 |     |   |  |
    |  3 | 906| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18140128| A A|    6 |     |   |  |
  2 |  * | 906| 4|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 906| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |     |  Y |     | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18066816| A A|    5 |     |   |  |
    |  2 | 906| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |   120.0 | 2 |   |      576 |   0.21 |        |    |      |     |   |  |
    |  3 | 906| 5| 3000860|13487| Mimo|64QAM| 27 | 27 | 48 |     0 |  Y |  0% |  Y |  0% | 29296 | 29296 | 58592 |         | 0 | 0 |    72720 |   0.81 |17993512| A A|   63 |  15 | 15| 2|
    |  3 | 906| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |   120.0 | 2 |   |      792 |   0.15 |        |    |      |     |   |  |
    |  3 | 906| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17953360| A A|    3 |     |   |  |
    |  3 | 906| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17957416| A A|    2 |     |   |  |
  2 |  * | 906| 8|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 906| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17972528| A A|    1 |     |   |  |
lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 906| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17976584| A A|    0 |     |   |  |
    |  3 | 907| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |17980640| A A|    7 |     |   |  |
  2 |  * | 907| 1|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 907| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17995752| A A|    6 |     |   |  |
    |  3 | 907| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18010864| A A|    5 |     |   |  |
    |  3 | 907| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18003872| A A|    4 |     |   |  |
    |  3 | 907| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18030032|    |   63 |  15 |   |  |
  2 |  * | 907| 5|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 907| 5| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    84672 |   0.87 |        |    |   63 |  15 |   |  |
    |  3 | 907| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |        |    |      |     |   |  |
3404|  * | 940| 4|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 940| 4| 3000860|13487|     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        | A A|    1 |     |   |  |
 661|  * | 940| 5|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 940| 5| 3000860|13487|     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |17992176| A A|    0 |     |   |  |
    |  3 | 940| 6| 3000860|13487|     |64QAM| 28 | 28 |    |       |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 | 73392.0 | 0 | 0 |    86400 |   0.85 |17996232| A A|    7 |     | 15| 2|
 799|  * | 940| 7|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 940| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18000288| A A|    6 |     |   |  |
    |  3 | 940| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18015400| A A|    5 |     |   |  |
    |  3 | 940| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18019456| A A|    4 |     |   |  |
  2 |  * | 941| 0|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 941| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18034568| A A|    3 |     |   |  |
    |  3 | 941| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18038624| A A|    2 |     |   |  |
    |  3 | 941| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18042680| A A|    1 |     |   |  |
  2 |  * | 941| 3|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 941| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18057792| A A|    0 |     |   |  |
    |  3 | 941| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18072904| A A|    7 |     |   |  |
    |  3 | 941| 5| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    84672 |   0.87 |18065904| A A|    6 |     |   |  |
    |  3 | 941| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18081016| A A|   63 |  15 | 15| 2|
  2 |  * | 941| 7|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 941| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18096128| A A|    4 |     |   |  |
    |  3 | 941| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18089128| A A|    3 |     |   |  |
    |  3 | 941| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18104240| A A|    2 |     |   |  |
    |  3 | 942| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18108296| A A|    1 |     |   |  |
  2 |  * | 942| 1|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 942| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18134456| A A|    0 |     |   |  |
    |  3 | 942| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18138520| A A|    7 |     |   |  |
    |  3 | 942| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18146328|    |    2 |     |   |  |
  2 |  * | 942| 4|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 942| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18034952|    |    1 |     |   |  |
    |  2 | 942| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |    |     |    |     |   120 |       |   120 |   120.0 | 1 |   |          |        |        |    |      |     |   |  |
lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
    |  3 | 942| 5| 3000860|13487| Mimo|64QAM| 27 | 27 | 48 |     0 |  Y |  0% |  Y |  0% | 29296 | 29296 | 58592 |         | 0 | 0 |    72720 |   0.81 |        |    |      |     |   |  |
    |  3 | 942| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |    |     |    |     |   120 |       |   120 |   120.0 | 1 |   |          |        |        |    |      |     |   |  |
 803|  * | 976| 0|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 976| 0| 3000860|13487|     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |17955784| A A|    5 |     |   |  |
 675|  * | 976| 1|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 976| 1| 3000860|13487|     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |17970896| A A|    4 |     |   |  |
    |  3 | 976| 2| 3000860|13487|     |64QAM| 28 | 28 |    |       |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 | 73392.0 | 0 | 0 |    86400 |   0.85 |17974952| A A|    3 |     |   |  |
3436|  * | 976| 3|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 976| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18004864| A A|    2 |     |   |  |
    |  3 | 976| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18019968| A A|    1 |     |   |  |
  2 |  * | 976| 5|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  2 | 976| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  Y |     |    |     |   120 |       |   120 |   120.0 | 0 |   |      864 |   0.14 |    120 |    |      |     |   |  |
    |  3 | 976| 5| 3000860|13487| Mimo|64QAM| 27 | 27 | 48 |     0 |  Y |  0% |  Y |  0% | 29296 | 29296 | 58592 |         | 0 | 0 |    72720 |   0.81 |18024024| A A|    0 |     |   |  |
    |  3 | 976| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  Y |     |    |     |   120 |       |   120 |   120.0 | 0 |   |      792 |   0.15 |    120 |    |      |     |   |  |
    |  3 | 976| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18028088| A A|   63 |  15 | 15| 2|
    |  3 | 976| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18043192| A A|    6 |     |   |  |
  2 |  * | 976| 8|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 976| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18047248| A A|    5 |     |   |  |
    |  3 | 976| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18062360| A A|    4 |     |   |  |
    |  3 | 977| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |18055368| A A|    3 |     |   |  |
    |  3 | 977| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18070480| A A|    2 |     |   |  |
  2 |  * | 977| 2|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 977| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18085584| A A|    1 |     |   |  |
    |  3 | 977| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18089640| A A|    0 |     |   |  |
    |  3 | 977| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18104752| A A|    7 |     |   |  |
    |  3 | 977| 5| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    84672 |   0.87 |18097760| A A|    6 |     |   |  |
  2 |  * | 977| 6|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 977| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18123920| A A|   63 |  15 | 15| 2|
    |  3 | 977| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18127976| A A|    4 |     |   |  |
    |  3 | 977| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18132032| A A|    3 |     |   |  |
  2 |  * | 977| 9|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 | 977| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18136088| A A|    2 |     |   |  |
    |  3 | 978| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |        |    |      |     |   |  |
    |  3 | 978| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |        |    |      |     |   |  |
 788|  * |1011| 0|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 |1011| 0| 3000860|13487|     |64QAM| 28 | 28 |    |       |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 | 73392.0 | 0 | 0 |    81504 |   0.90 |18153464| A A|    7 |     |   |  |
 663|  * |1011| 1|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 |1011| 1| 3000860|13487|     |64QAM| 28 | 28 |    |       |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18157520| A A|    6 |     |   |  |
  2 |  * |1011| 2|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 |1011| 2| 3000860|13487|     |64QAM| 28 | 28 |    |       |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18172632| A A|    5 |     |   |  |
lost|cell|sfn |sf|bbUeRef |rnti |mode |modul|mcs1|mcs2|prb |rbaType|ndf1|bler1|ndf2|bler2|tbs1   |tbs2   |tbsSum |tbsAvg   |rv1|rv2|rateBitSum|codeRate|assBits |harq|procId|bundl|cqi|ri|
3367|  * |1011| 3|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 |1011| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18165640| A A|    4 |     |   |  |
    |  3 |1011| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |18092336| A A|    3 |     |   |  |
    |  3 |1011| 5| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    84672 |   0.87 |18019024| A A|    2 |     |   |  |
    |  3 |1011| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17945720| A A|   63 |  15 | 15| 2|
  2 |  * |1011| 7|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 |1011| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17894520| A A|    0 |     |   |  |
    |  3 |1011| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17898576| A A|    7 |     |   |  |
    |  3 |1011| 9| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17913680| A A|    6 |     |   |  |
    |  3 |1012| 0| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    81504 |   0.90 |17917744| A A|    5 |     |   |  |
  2 |  * |1012| 1|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 |1012| 1| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17921800| A A|    4 |     |   |  |
    |  3 |1012| 2| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17936904| A A|    3 |     |   |  |
    |  3 |1012| 3| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17966816| A A|    2 |     |   |  |
    |  3 |1012| 4| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17970872| A A|    1 |     |   |  |
  2 |  * |1012| 5|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  2 |1012| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |   120.0 | 3 |   |      576 |   0.21 |        |    |      |     |   |  |
    |  3 |1012| 5| 3000860|13487| Mimo|64QAM| 27 | 27 | 48 |     0 |  Y |  0% |  Y |  0% | 29296 | 29296 | 58592 |         | 0 | 0 |    72720 |   0.81 |17985984| A A|    0 |     |   |  |
    |  3 |1012| 5|    SIB |65535|     | QPSK|  4 |    |  2 |       |  N |     |    |     |   120 |       |   120 |   120.0 | 3 |   |      528 |   0.23 |        |    |      |     |   |  |
    |  3 |1012| 6| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17978984| A A|   63 |  15 | 15| 2|
    |  3 |1012| 7| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17983048| A A|    6 |     |   |  |
  2 |  * |1012| 8|      * |     |     |     |    |    |    |       |    |     |    |     |       |       |       |         |   |   |          |        |        |    |      |     |   |  |
    |  3 |1012| 8| 3000860|13487| Mimo|64QAM| 28 | 28 | 50 |     0 |  Y |  0% |  Y |  0% | 36696 | 36696 | 73392 |         | 0 | 0 |    86400 |   0.85 |17998152| A A|    5 |     |   |  |
