lost|cell|sfn |sf|bbUeRef |rnti |pucchPwr|puschPwr|gain|puschTpc|sinr |dtx|modulation|mcs|prb|prbSt|prbEn|ndf|bler|tbs    |sr|bsr    |phr|pucchIntNoisePower|puschIntNoisePower|harq|procId|
    |  3 | 841| 8| 3000860|13487| -114.6 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 841| 9| 3000860|13487| -114.7 |        |    |        |   7 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
  2 |  * | 842| 0|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 0| 3000860|13487| -114.1 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 1| 3000860|13487| -114.3 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 2| 3000860|13487| -114.7 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 842| 3|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 3| 3000860|13487| -114.3 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 4| 3000860|13487| -113.9 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 5| 3000860|13487|        |  -96.6 |    |        |  26 | N |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |     0 |   |                  |                  | ACK|    1 |
  2 |  * | 842| 6|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 6| 3000860|13487| -114.5 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 7| 3000860|13487| -114.6 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 8| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 842| 9| 3000860|13487| -114.5 |        |    |        |   7 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
  2 |  * | 843| 0|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 843| 0| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 843| 1| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 843| 2| 3000860|13487| -114.1 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 843| 3| 3000860|13487| -114.2 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 843| 4|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 843| 4| 3000860|13487| -114.7 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 843| 5| 3000860|13487|        |  -96.7 |    |        |  26 | N |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |     0 | 40|                  |                  | ACK|    3 |
    |  3 | 843| 6| 3000860|13487| -114.0 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |SR|       |   |                  |                  |    |      |
  2 |  * | 843| 7|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 843| 7| 3000860|13487| -114.5 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 843| 8| 3000860|13487| -114.1 |        |    |        |   8 |   |          | 23| 2 |  46 |     |   |    |  1000 |  |       |   |                  |                  |    |      |
    |  3 | 843| 9| 3000860|13487| -114.0 |        |    |        |   8 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
    |  3 | 844| 0| 3000860|13487| -114.4 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 844| 1|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 844| 1| 3000860|13487| -114.5 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 844| 2| 3000860|13487| -114.4 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 844| 3| 3000860|13487| -114.5 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 844| 4| 3000860|13487|        |  -96.7 |    |        |  27 | N |    16QAM |   | 2 |  46 |  47 | Y |    |  1000 |  |     0 |   |                  |                  | ACK|    4 |
    |  3 | 844| 5| 3000860|13487|        |  -96.7 |    |        |  25 | N |    16QAM |   | 2 |  46 |  47 | Y |    |   776 |  |     0 |   |                  |                  | ACK|    5 |
  2 |  * | 844| 6|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 844| 6| 3000860|13487| -114.8 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 844| 7| 3000860|13487| -114.8 |        |    |        |   8 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
  2 |  * | 844| 8|      * |     |        |        |    |        |     |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
    |  3 | 844| 8| 3000860|13487| -114.6 |        |    |        |   7 |   |          |   |   |     |     |   |    |       |  |       |   |                  |                  |    |      |
lost|cell|sfn |sf|bbUeRef |rnti |pucchPwr|puschPwr|gain|puschTpc|sinr |dtx|modulation|mcs|prb|prbSt|prbEn|ndf|bler|tbs    |sr|bsr    |phr|pucchIntNoisePower|puschIntNoisePower|harq|procId|
    |  3 | 844| 9| 3000860|13487| -113.8 |        |    |        |   8 |   |          | 19| 2 |  46 |     |   |    |   776 |  |       |   |                  |                  |    |      |
